id,text_string
interactive_tool_phinch,Tool: Phinch Visualisation. Description:  . Category: Interactive Tools.
interactive_tool_pavian,Tool: Pavian. Description: Interactive analysis of metagenomics data. Category: Interactive Tools.
interactive_tool_qiskit_jupyter_notebook,Tool: Qiskit Jupyter notebook. Description: interactive tool. Category: Interactive Tools.
interactive_tool_blobtoolkit,Tool: Interactive BlobToolKit. Description: genome assembly QC viewer. Category: Interactive Tools.
interactive_tool_phyloseq,Tool: Phyloseq. Description: Explore microbiome profiles. Category: Interactive Tools.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_depth/samtools_depth/1.13,Tool: Samtools depth. Description: compute the depth at each position or region. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_fastx/samtools_fastx/1.13,Tool: Samtools fastx. Description: extract FASTA or FASTQ from alignment files. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_fixmate/samtools_fixmate/1.13,"Tool: Samtools fixmate. Description: fill mate coordinates, ISIZE and mate related flags. Category: SAM/BAM."
toolshed.g2.bx.psu.edu/repos/iuc/samtools_markdup/samtools_markdup/1.13,Tool: Samtools markdup. Description: marks duplicate alignments. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_merge/samtools_merge/1.13,Tool: Samtools merge. Description: merge multiple sorted alignment files. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view/1.13+galaxy1,"Tool: Samtools view. Description: - reformat, filter, or subsample SAM, BAM or CRAM. Category: SAM/BAM."
toolshed.g2.bx.psu.edu/repos/iuc/samtools_markdup/samtools_markdup/1.13+galaxy1,Tool: Samtools markdup. Description: marks duplicate alignments. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view/1.13+galaxy2,"Tool: Samtools view. Description: - reformat, filter, or subsample SAM, BAM or CRAM. Category: SAM/BAM."
toolshed.g2.bx.psu.edu/repos/iuc/samtools_ampliconclip/samtools_ampliconclip/1.13,Tool: Samtools ampliconclip. Description: clip primer bases from bam files. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_sort/samtools_sort/2.0.4,Tool: Samtools sort. Description: order of storing aligned sequences. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_mpileup/samtools_mpileup/2.1.6,Tool: Samtools mpileup. Description: multi-way pileup of variants. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_flagstat/samtools_flagstat/2.0.4,Tool: Samtools flagstat. Description: tabulate descriptive stats for BAM datset. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/bam_to_sam/bam_to_sam/2.0.2,Tool: BAM-to-SAM. Description: convert BAM to SAM. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats/2.0.4,Tool: Samtools idxstats. Description: reports stats of the BAM index file. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/sam_to_bam/sam_to_bam/2.1.2,Tool: SAM-to-BAM. Description: convert SAM to BAM. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.3,Tool: Samtools calmd. Description: recalculate MD/NM tags. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_bedcov/samtools_bedcov/2.0.3,Tool: Samtools bedcov. Description: calculate read depth for a set of genomic intervals. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_split/samtools_split/1.15.1+galaxy0,Tool: Samtools split. Description: BAM dataset on readgroups. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.4,Tool: Samtools stats. Description: generate statistics for BAM dataset. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0.2,Tool: Slice. Description: BAM by genomic regions. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_reheader/samtools_reheader/2.0.2,Tool: Samtools reheader. Description: copy SAM/BAM header between datasets. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamtools_split/2.5.1+galaxy0,Tool: Split. Description: BAM datasets on variety of attributes. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/2.5.1+galaxy0,"Tool: Convert, Merge, Randomize. Description: BAM datasets and perform other transformations. Category: SAM/BAM."
toolshed.g2.bx.psu.edu/repos/devteam/bamtools_filter/bamFilter/2.5.1+galaxy0,Tool: Filter. Description: BAM datasets on a variety of attributes. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_depth/samtools_depth/1.15.1+galaxy0,Tool: Samtools depth. Description: compute the depth at each position or region. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_fastx/samtools_fastx/1.15.1+galaxy0,Tool: Samtools fastx. Description: extract FASTA or FASTQ from alignment files. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_fixmate/samtools_fixmate/1.15.1+galaxy0,"Tool: Samtools fixmate. Description: fill mate coordinates, ISIZE and mate related flags. Category: SAM/BAM."
toolshed.g2.bx.psu.edu/repos/iuc/samtools_markdup/samtools_markdup/1.15.1+galaxy0,Tool: Samtools markdup. Description: marks duplicate alignments. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_merge/samtools_merge/1.15.1+galaxy0,Tool: Samtools merge. Description: merge multiple sorted alignment files. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_phase/samtools_phase/2.0.2,Tool: Samtools phase. Description: call and phase heterozygous SNPs. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view/1.15.1+galaxy0,"Tool: Samtools view. Description: - reformat, filter, or subsample SAM, BAM or CRAM. Category: SAM/BAM."
toolshed.g2.bx.psu.edu/repos/iuc/samtools_ampliconclip/samtools_ampliconclip/1.15.1+galaxy0,Tool: Samtools ampliconclip. Description: clip primer bases from bam files. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/lldelisle/revertr2orientationinbam/revertR2orientationInBam/0.0.2,Tool: revertR2orientationInBam. Description: Revert the mapped orientation of R2 mates in a bam.. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.3,Tool: Samtools stats. Description: generate statistics for BAM dataset. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamtools_split/2.5.2+galaxy0,Tool: Split. Description: BAM datasets on variety of attributes. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/2.5.2+galaxy1,Tool: Operate on and transform BAM. Description: datasets in various ways. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/bamtools_filter/bamFilter/2.5.2+galaxy1,Tool: Filter BAM. Description: datasets on a variety of attributes. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_markdup/samtools_markdup/1.15.1+galaxy1,Tool: Samtools markdup. Description: marks duplicate alignments. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/bamtools_split_mapped/bamtools_split_mapped/2.5.2+galaxy1,Tool: Split BAM by reads mapping status. Description: into a mapped and an unmapped dataset. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/bamtools_split_paired/bamtools_split_paired/2.5.2+galaxy1,Tool: Split BAM into paired- and single-end. Description: reads datasets. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/bamtools_split_ref/bamtools_split_ref/2.5.2+galaxy1,Tool: Split BAM by reference. Description: into a dataset list collection. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/bamtools_split_tag/bamtools_split_tag/2.5.2+galaxy1,Tool: Split BAM by read tag value. Description: into a dataset list collection. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_sort/samtools_sort/2.0.5,Tool: Samtools sort. Description: order of storing aligned sequences. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_mpileup/samtools_mpileup/2.1.7,Tool: Samtools mpileup. Description: multi-way pileup of variants. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_flagstat/samtools_flagstat/2.0.5,Tool: Samtools flagstat. Description: tabulate descriptive stats for BAM datset. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/bam_to_sam/bam_to_sam/2.0.4,Tool: BAM-to-SAM. Description: convert BAM to SAM. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats/2.0.5,Tool: Samtools idxstats. Description: reports stats of the BAM index file. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.4,Tool: Samtools calmd. Description: recalculate MD/NM tags. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_bedcov/samtools_bedcov/2.0.4,Tool: Samtools bedcov. Description: calculate read depth for a set of genomic intervals. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_split/samtools_split/1.15.1+galaxy2,Tool: Samtools split. Description: BAM dataset on readgroups. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.5,Tool: Samtools stats. Description: generate statistics for BAM dataset. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0.3,Tool: Slice. Description: BAM by genomic regions. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_reheader/samtools_reheader/2.0.3,Tool: Samtools reheader. Description: copy SAM/BAM header between datasets. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_depth/samtools_depth/1.15.1+galaxy2,Tool: Samtools depth. Description: compute the depth at each position or region. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_fastx/samtools_fastx/1.15.1+galaxy2,Tool: Samtools fastx. Description: extract FASTA or FASTQ from alignment files. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_fixmate/samtools_fixmate/1.15.1+galaxy2,"Tool: Samtools fixmate. Description: fill mate coordinates, ISIZE and mate related flags. Category: SAM/BAM."
toolshed.g2.bx.psu.edu/repos/iuc/samtools_markdup/samtools_markdup/1.15.1+galaxy2,Tool: Samtools markdup. Description: marks duplicate alignments. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_merge/samtools_merge/1.15.1+galaxy2,Tool: Samtools merge. Description: merge multiple sorted alignment files. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view/1.15.1+galaxy2,"Tool: Samtools view. Description: - reformat, filter, or subsample SAM, BAM or CRAM. Category: SAM/BAM."
toolshed.g2.bx.psu.edu/repos/iuc/samtools_ampliconclip/samtools_ampliconclip/1.15.1+galaxy2,Tool: Samtools ampliconclip. Description: clip primer bases from bam files. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/2.5.2+galaxy2,Tool: Operate on and transform BAM. Description: datasets in various ways. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/bamtools_filter/bamFilter/2.5.2+galaxy2,Tool: Filter BAM. Description: datasets on a variety of attributes. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/bamtools_split_mapped/bamtools_split_mapped/2.5.2+galaxy2,Tool: Split BAM by reads mapping status. Description: into a mapped and an unmapped dataset. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/bamtools_split_paired/bamtools_split_paired/2.5.2+galaxy2,Tool: Split BAM into paired- and single-end. Description: reads datasets. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/bamtools_split_ref/bamtools_split_ref/2.5.2+galaxy2,Tool: Split BAM by reference. Description: into a dataset list collection. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/bamtools_split_tag/bamtools_split_tag/2.5.2+galaxy2,Tool: Split BAM by read tag value. Description: into a dataset list collection. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/mosdepth/mosdepth/0.3.8+galaxy0,Tool: mosdepth. Description: - fast and flexible depth coverage calculation. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/qualimap_multi_bamqc/qualimap_multi_bamqc/2.3+galaxy0,Tool: QualiMap Multi-Sample BamQC. Description:  . Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/qualimap_bamqc/qualimap_bamqc/2.3+galaxy0,Tool: QualiMap BamQC. Description:  . Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view/1.15.1+galaxy3,"Tool: Samtools view. Description: - reformat, filter, or subsample SAM, BAM or CRAM. Category: SAM/BAM."
toolshed.g2.bx.psu.edu/repos/devteam/samtools_split/samtools_split/1.20+galaxy2,Tool: Samtools split. Description: BAM dataset on readgroups. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_fastx/samtools_fastx/1.20+galaxy2,Tool: Samtools fastx. Description: extract FASTA or FASTQ from alignment files. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_fixmate/samtools_fixmate/1.20+galaxy2,"Tool: Samtools fixmate. Description: fill mate coordinates, ISIZE and mate related flags. Category: SAM/BAM."
toolshed.g2.bx.psu.edu/repos/iuc/samtools_markdup/samtools_markdup/1.20+galaxy2,Tool: Samtools markdup. Description: marks duplicate alignments. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_merge/samtools_merge/1.20+galaxy2,Tool: Samtools merge. Description: merge multiple sorted alignment files. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view/1.20+galaxy3,"Tool: Samtools view. Description: - reformat, filter, or subsample SAM, BAM or CRAM. Category: SAM/BAM."
toolshed.g2.bx.psu.edu/repos/iuc/samtools_ampliconclip/samtools_ampliconclip/1.20+galaxy2,Tool: Samtools ampliconclip. Description: clip primer bases from bam files. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_coverage/samtools_coverage/1.15.1+galaxy2,Tool: Samtools coverage. Description: computes the depth at each position or region. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_sort/samtools_sort/2.0.6,Tool: Samtools sort. Description: order of storing aligned sequences. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_mpileup/samtools_mpileup/2.1.8,Tool: Samtools mpileup. Description: multi-way pileup of variants. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_flagstat/samtools_flagstat/2.0.6,Tool: Samtools flagstat. Description: tabulate descriptive stats for BAM datset. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/bam_to_sam/bam_to_sam/2.0.5,Tool: BAM-to-SAM. Description: convert BAM to SAM. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats/2.0.6,Tool: Samtools idxstats. Description: reports stats of the BAM index file. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/sam_to_bam/sam_to_bam/2.1.3,Tool: SAM-to-BAM. Description: convert SAM to BAM. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.5,Tool: Samtools calmd. Description: recalculate MD/NM tags. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_bedcov/samtools_bedcov/2.0.5,Tool: Samtools bedcov. Description: calculate read depth for a set of genomic intervals. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.6,Tool: Samtools stats. Description: generate statistics for BAM dataset. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0.4,Tool: Slice. Description: BAM by genomic regions. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_reheader/samtools_reheader/2.0.4,Tool: Samtools reheader. Description: copy SAM/BAM header between datasets. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/2.5.2+galaxy3,Tool: Operate on and transform BAM. Description: datasets in various ways. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/bamtools_filter/bamFilter/2.5.2+galaxy3,Tool: Filter BAM. Description: datasets on a variety of attributes. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_depth/samtools_depth/1.21+galaxy0,Tool: Samtools depth. Description: compute the depth at each position or region. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_fastx/samtools_fastx/1.21+galaxy0,Tool: Samtools fastx. Description: extract FASTA or FASTQ from alignment files. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_fixmate/samtools_fixmate/1.21+galaxy0,"Tool: Samtools fixmate. Description: fill mate coordinates, ISIZE and mate related flags. Category: SAM/BAM."
toolshed.g2.bx.psu.edu/repos/iuc/samtools_markdup/samtools_markdup/1.21+galaxy0,Tool: Samtools markdup. Description: marks duplicate alignments. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_merge/samtools_merge/1.21+galaxy0,Tool: Samtools merge. Description: merge multiple sorted alignment files. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view/1.21+galaxy0,"Tool: Samtools view. Description: - reformat, filter, or subsample SAM, BAM or CRAM. Category: SAM/BAM."
toolshed.g2.bx.psu.edu/repos/iuc/samtools_ampliconclip/samtools_ampliconclip/1.21+galaxy0,Tool: Samtools ampliconclip. Description: clip primer bases from bam files. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_coverage/samtools_coverage/1.21+galaxy3,Tool: Samtools coverage. Description: Produces a histogram or table of coverage per chromosome. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/iuc/samtools_coverage/samtools_coverage/1.20+galaxy3,Tool: Samtools coverage. Description: Produces a histogram or table of coverage per chromosome. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_sort/samtools_sort/2.0.7,Tool: Samtools sort. Description: order of storing aligned sequences. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_mpileup/samtools_mpileup/2.1.9,Tool: Samtools mpileup. Description: multi-way pileup of variants. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_flagstat/samtools_flagstat/2.0.7,Tool: Samtools flagstat. Description: tabulate descriptive stats for BAM datset. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/bam_to_sam/bam_to_sam/2.0.6,Tool: BAM-to-SAM. Description: convert BAM to SAM. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats/2.0.7,Tool: Samtools idxstats. Description: reports stats of the BAM index file. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/sam_to_bam/sam_to_bam/2.1.4,Tool: SAM-to-BAM. Description: convert SAM to BAM. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.6,Tool: Samtools calmd. Description: recalculate MD/NM tags. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_bedcov/samtools_bedcov/2.0.6,Tool: Samtools bedcov. Description: calculate read depth for a set of genomic intervals. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.7,Tool: Samtools stats. Description: generate statistics for BAM dataset. Category: SAM/BAM.
toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0.5,Tool: Slice. Description: BAM by genomic regions. Category: SAM/BAM.
