model_class,id,name,version,description,labels,icon,edam_operations,edam_topics,hidden,is_workflow_compatible,xrefs,link,min_width,target,panel_section_id,panel_section_name,form_style,tool_shed_repository.name,tool_shed_repository.owner,tool_shed_repository.changeset_revision,tool_shed_repository.tool_shed
ApplyRulesTool,__APPLY_RULES__,Apply rules,1.1.0,,[],,"[""operation_2409"",""operation_3695""]",[],,true,[],/tool_runner?tool_id=__APPLY_RULES__,-1,galaxy_main,collection_operations,Collection Operations,regular,,,,
BuildListCollectionTool,__BUILD_LIST__,Build list,1.2.0,,[],,"[""operation_2409""]",[],,true,[],/tool_runner?tool_id=__BUILD_LIST__,-1,galaxy_main,collection_operations,Collection Operations,regular,,,,
ExtractDatasetCollectionTool,__EXTRACT_DATASET__,Extract dataset,1.0.2,,[],,"[""operation_3695""]",[],,true,[],/tool_runner?tool_id=__EXTRACT_DATASET__,-1,galaxy_main,collection_operations,Collection Operations,regular,,,,
DuplicateFileToCollectionTool,__DUPLICATE_FILE_TO_COLLECTION__,Duplicate file to collection,1.0.0,,[],,[],[],,true,[],/tool_runner?tool_id=__DUPLICATE_FILE_TO_COLLECTION__,-1,galaxy_main,collection_operations,Collection Operations,regular,,,,
ExpressionTool,param_value_from_file,Parse parameter value,0.1.0,from dataset,[],,[],[],,true,[],/tool_runner?tool_id=param_value_from_file,-1,galaxy_main,expression_tools,Expression Tools,special,,,,
Tool,addValue,Add column,1.0.0,to an existing dataset,[],,"[""operation_3096""]",[],,true,[],/tool_runner?tool_id=addValue,-1,galaxy_main,text_manipulation,Text Manipulation,regular,,,,
Tool,cat1,Concatenate datasets,1.0.0,tail-to-head,[],,"[""operation_3436""]",[],,true,[],/tool_runner?tool_id=cat1,-1,galaxy_main,text_manipulation,Text Manipulation,regular,,,,
Tool,Condense characters1,Condense,1.0.0,consecutive characters,[],,[],[],,true,[],/tool_runner?tool_id=Condense+characters1,-1,galaxy_main,text_manipulation,Text Manipulation,regular,,,,
Tool,Convert characters1,Convert,1.0.0,delimiters to TAB,[],,[],[],,true,[],/tool_runner?tool_id=Convert+characters1,-1,galaxy_main,text_manipulation,Text Manipulation,regular,,,,
Tool,mergeCols1,Merge Columns,1.0.1,together,[],,[],[],,true,[],/tool_runner?tool_id=mergeCols1,-1,galaxy_main,text_manipulation,Text Manipulation,regular,,,,
Tool,createInterval,Create single interval,1.0.0,as a new dataset,[],,[],[],,true,[],/tool_runner?tool_id=createInterval,-1,galaxy_main,text_manipulation,Text Manipulation,regular,,,,
Tool,Cut1,Cut,1.0.2,columns from a table,[],,"[""operation_3695""]",[],,true,[],/tool_runner?tool_id=Cut1,-1,galaxy_main,text_manipulation,Text Manipulation,regular,,,,
Tool,ChangeCase,Change Case,1.0.0,of selected columns,[],,[],[],,true,[],/tool_runner?tool_id=ChangeCase,-1,galaxy_main,text_manipulation,Text Manipulation,regular,,,,
Tool,Paste1,Paste,1.0.0,two files side by side,[],,[],[],,true,[],/tool_runner?tool_id=Paste1,-1,galaxy_main,text_manipulation,Text Manipulation,regular,,,,
Tool,Remove beginning1,Remove beginning,1.0.0,of a file,[],,[],[],,true,[],/tool_runner?tool_id=Remove+beginning1,-1,galaxy_main,text_manipulation,Text Manipulation,regular,,,,
Tool,random_lines1,Select random lines,2.0.2,from a file,[],,[],[],,true,[],/tool_runner?tool_id=random_lines1,-1,galaxy_main,text_manipulation,Text Manipulation,regular,,,,
Tool,Show beginning1,Select first,1.0.2,lines from a dataset,[],,"[""operation_3695""]",[],,true,[],/tool_runner?tool_id=Show+beginning1,-1,galaxy_main,text_manipulation,Text Manipulation,regular,,,,
Tool,Show tail1,Select last,1.0.1,lines from a dataset,[],,[],[],,true,[],/tool_runner?tool_id=Show+tail1,-1,galaxy_main,text_manipulation,Text Manipulation,regular,,,,
Tool,trimmer,Trim,0.0.2,leading or trailing characters,[],,[],[],,true,[],/tool_runner?tool_id=trimmer,-1,galaxy_main,text_manipulation,Text Manipulation,regular,,,,
Tool,wc_gnu,Line/Word/Character count,1.0.0,of a dataset,[],,[],[],,true,[],/tool_runner?tool_id=wc_gnu,-1,galaxy_main,text_manipulation,Text Manipulation,regular,,,,
Tool,secure_hash_message_digest,Secure Hash / Message Digest,0.0.2,on a dataset,[],,[],[],,true,[],/tool_runner?tool_id=secure_hash_message_digest,-1,galaxy_main,text_manipulation,Text Manipulation,regular,,,,
Tool,Filter1,Filter,1.1.1,data on any column using simple expressions,[],,"[""operation_0335""]",[],,true,[],/tool_runner?tool_id=Filter1,-1,galaxy_main,filter_and_sort,Filter and Sort,regular,,,,
Tool,Grep1,Select,1.0.4,lines that match an expression,[],,"[""operation_3695""]",[],,true,[],/tool_runner?tool_id=Grep1,-1,galaxy_main,filter_and_sort,Filter and Sort,regular,,,,
Tool,Extract_features1,Extract features,1.0.0,from GFF data,[],,[],[],,true,[],/tool_runner?tool_id=Extract_features1,-1,galaxy_main,filter_and_sort,Filter and Sort,regular,,,,
Tool,gff_filter_by_attribute,Filter GFF data by attribute,0.2,using simple expressions,[],,[],[],,true,[],/tool_runner?tool_id=gff_filter_by_attribute,-1,galaxy_main,filter_and_sort,Filter and Sort,regular,,,,
Tool,gff_filter_by_feature_count,Filter GFF data by feature count,0.1.1,using simple expressions,[],,[],[],,true,[],/tool_runner?tool_id=gff_filter_by_feature_count,-1,galaxy_main,filter_and_sort,Filter and Sort,regular,,,,
Tool,gtf_filter_by_attribute_values_list,Filter GTF data by attribute values_list,0.2,,[],,[],[],,true,[],/tool_runner?tool_id=gtf_filter_by_attribute_values_list,-1,galaxy_main,filter_and_sort,Filter and Sort,regular,,,,
Tool,join1,Join two Datasets,2.1.3,side by side on a specified field,[],,[],[],,true,[],/tool_runner?tool_id=join1,-1,galaxy_main,join__subtract_and_group,"Join, Subtract and Group",regular,,,,
Tool,comp1,Compare two Datasets,1.0.2,to find common or distinct rows,[],,"[""operation_3695""]",[],,true,[],/tool_runner?tool_id=comp1,-1,galaxy_main,join__subtract_and_group,"Join, Subtract and Group",regular,,,,
Tool,Grouping1,Group,2.1.4,data by a column and perform aggregate operation on other columns.,[],,[],[],,true,[],/tool_runner?tool_id=Grouping1,-1,galaxy_main,join__subtract_and_group,"Join, Subtract and Group",regular,,,,
Tool,bed2gff1,BED-to-GFF,2.0.0,converter,[],,"[""operation_3434""]",[],,true,[],/tool_runner?tool_id=bed2gff1,-1,galaxy_main,convert_formats,Convert Formats,regular,,,,
Tool,gff2bed1,GFF-to-BED,1.0.1,converter,[],,"[""operation_3434""]",[],,true,[],/tool_runner?tool_id=gff2bed1,-1,galaxy_main,convert_formats,Convert Formats,regular,,,,
Tool,MAF_To_BED1,MAF to BED,1.0.0,Converts a MAF formatted file to the BED format,[],,[],[],,true,[],/tool_runner?tool_id=MAF_To_BED1,-1,galaxy_main,convert_formats,Convert Formats,regular,,,,
Tool,MAF_To_Interval1,MAF to Interval,1.0.0,Converts a MAF formatted file to the Interval format,[],,[],[],,true,[],/tool_runner?tool_id=MAF_To_Interval1,-1,galaxy_main,convert_formats,Convert Formats,regular,,,,
Tool,MAF_To_Fasta1,MAF to FASTA,1.0.1,Converts a MAF formatted file to FASTA format,[],,[],[],,true,[],/tool_runner?tool_id=MAF_To_Fasta1,-1,galaxy_main,convert_formats,Convert Formats,regular,,,,
Tool,Sff_extractor,SFF converter,1.0.1,,[],,[],[],,true,[],/tool_runner?tool_id=Sff_extractor,-1,galaxy_main,convert_formats,Convert Formats,regular,,,,
Tool,bed_to_bigBed,BED-to-bigBed,1.0.1,converter,[],,"[""operation_3434""]",[],,true,[],/tool_runner?tool_id=bed_to_bigBed,-1,galaxy_main,convert_formats,Convert Formats,regular,,,,
Tool,liftOver1,Convert genome coordinates,1.0.6,between assemblies and genomes,[],,[],[],,true,[],/tool_runner?tool_id=liftOver1,-1,galaxy_main,lift_over,Lift-Over,regular,,,,
Tool,wiggle2simple1,Wiggle-to-Interval,1.0.1,converter,[],,[],[],,true,[],/tool_runner?tool_id=wiggle2simple1,-1,galaxy_main,operate_on_genomic_intervals,Operate on Genomic Intervals,regular,,,,
Tool,aggregate_scores_in_intervals2,Aggregate datapoints,1.1.4,"Appends the average, min, max of datapoints per interval",[],,[],[],,true,[],/tool_runner?tool_id=aggregate_scores_in_intervals2,-1,galaxy_main,operate_on_genomic_intervals,Operate on Genomic Intervals,regular,,,,
Tool,gene2exon1,Gene BED To Exon/Intron/Codon BED,1.0.0,expander,[],,[],[],,true,[],/tool_runner?tool_id=gene2exon1,-1,galaxy_main,operate_on_genomic_intervals,Operate on Genomic Intervals,regular,,,,
Tool,Interval2Maf_pairwise1,Extract Pairwise MAF blocks,1.0.1,given a set of genomic intervals,[],,[],[],,true,[],/tool_runner?tool_id=Interval2Maf_pairwise1,-1,galaxy_main,fetch_sequences_alignments,Fetch Sequences/Alignments,regular,,,,
Tool,Interval_Maf_Merged_Fasta2,Stitch MAF blocks,1.0.1,given a set of genomic intervals,[],,[],[],,true,[],/tool_runner?tool_id=Interval_Maf_Merged_Fasta2,-1,galaxy_main,fetch_sequences_alignments,Fetch Sequences/Alignments,regular,,,,
Tool,GeneBed_Maf_Fasta2,Stitch Gene blocks,1.0.1,given a set of coding exon intervals,[],,[],[],,true,[],/tool_runner?tool_id=GeneBed_Maf_Fasta2,-1,galaxy_main,fetch_sequences_alignments,Fetch Sequences/Alignments,regular,,,,
Tool,maf_stats1,MAF Coverage Stats,1.0.1,Alignment coverage information,[],,[],[],,true,[],/tool_runner?tool_id=maf_stats1,-1,galaxy_main,fetch_sequences_alignments,Fetch Sequences/Alignments,regular,,,,
Tool,MAF_Thread_For_Species1,Join MAF blocks,1.0.0,by Species,[],,[],[],,true,[],/tool_runner?tool_id=MAF_Thread_For_Species1,-1,galaxy_main,fetch_sequences_alignments,Fetch Sequences/Alignments,regular,,,,
Tool,MAF_Limit_To_Species1,Filter MAF blocks,1.0.0,by Species,[],,[],[],,true,[],/tool_runner?tool_id=MAF_Limit_To_Species1,-1,galaxy_main,fetch_sequences_alignments,Fetch Sequences/Alignments,regular,,,,
Tool,maf_limit_size1,Filter MAF blocks,1.0.1,by Size,[],,[],[],,true,[],/tool_runner?tool_id=maf_limit_size1,-1,galaxy_main,fetch_sequences_alignments,Fetch Sequences/Alignments,regular,,,,
Tool,maf_by_block_number1,Extract MAF by block number,1.0.1,given a set of block numbers and a MAF file,[],,[],[],,true,[],/tool_runner?tool_id=maf_by_block_number1,-1,galaxy_main,fetch_sequences_alignments,Fetch Sequences/Alignments,regular,,,,
Tool,MAF_Reverse_Complement_1,Reverse Complement,1.0.1,a MAF file,[],,[],[],,true,[],/tool_runner?tool_id=MAF_Reverse_Complement_1,-1,galaxy_main,fetch_sequences_alignments,Fetch Sequences/Alignments,regular,,,,
Tool,MAF_filter,Filter MAF,1.0.1,by specified attributes,[],,[],[],,true,[],/tool_runner?tool_id=MAF_filter,-1,galaxy_main,fetch_sequences_alignments,Fetch Sequences/Alignments,regular,,,,
Tool,hgv_linkToGProfile,g:Profiler,1.0.0,tools for functional profiling of gene lists,[],,[],[],,true,[],/tool_runner?tool_id=hgv_linkToGProfile,-1,galaxy_main,phenotype_association,Phenotype Association,regular,,,,
Tool,hgv_david,DAVID,1.0.1,functional annotation for a list of genes,[],,[],[],,true,[],/tool_runner?tool_id=hgv_david,-1,galaxy_main,phenotype_association,Phenotype Association,regular,,,,
Tool,hgv_ldtools,LD,1.0.0,linkage disequilibrium and tag SNPs,[],,[],[],,true,[],/tool_runner?tool_id=hgv_ldtools,-1,galaxy_main,phenotype_association,Phenotype Association,regular,,,,
Tool,hgv_pass,PASS,1.0.0,significant transcription factor binding sites from ChIP data,[],,[],[],,true,[],/tool_runner?tool_id=hgv_pass,-1,galaxy_main,phenotype_association,Phenotype Association,regular,,,,
Tool,hgv_gpass,GPASS,1.0.0,significant single-SNP associations in case-control studies,[],,[],[],,true,[],/tool_runner?tool_id=hgv_gpass,-1,galaxy_main,phenotype_association,Phenotype Association,regular,,,,
Tool,hgv_beam,BEAM,1.0.0,significant single- and multi-locus SNP associations in case-control studies,[],,[],[],,true,[],/tool_runner?tool_id=hgv_beam,-1,galaxy_main,phenotype_association,Phenotype Association,regular,,,,
Tool,hgv_lps,LPS,1.0.0,LASSO-Patternsearch algorithm,[],,[],[],,true,[],/tool_runner?tool_id=hgv_lps,-1,galaxy_main,phenotype_association,Phenotype Association,regular,,,,
Tool,master2pgSnp,MasterVar to pgSnp,1.0.0,Convert from MasterVar to pgSnp format,[],,[],[],,true,[],/tool_runner?tool_id=master2pgSnp,-1,galaxy_main,phenotype_association,Phenotype Association,regular,,,,
Tool,Summary_Statistics1,Summary Statistics,1.1.2,for any numerical column,[],,[],"[""topic_2269""]",,true,[],/tool_runner?tool_id=Summary_Statistics1,-1,galaxy_main,statistics,Statistics,regular,,,,
Tool,Count1,Count,1.0.3,occurrences of each record,[],,[],[],,true,[],/tool_runner?tool_id=Count1,-1,galaxy_main,statistics,Statistics,regular,,,,
Tool,vcf_to_maf_customtrack1,VCF to MAF Custom Track,1.0.1,for display at UCSC,[],,[],[],,true,[],/tool_runner?tool_id=vcf_to_maf_customtrack1,-1,galaxy_main,graph_display_data,Graph/Display Data,regular,,,,
InteractiveTool,interactive_tool_jupyter_notebook,Interactive JupyterLab Notebook,1.0.1,,[],jupyter_logo.png,[],[],,true,[],/tool_runner?tool_id=interactive_tool_jupyter_notebook,-1,galaxy_main,interactive_tools,Interactive Tools,regular,,,,
InteractiveTool,interactive_tool_panoply,Panoply,4.5.1,interative plotting tool for geo-referenced data,[],panoply.png,[],[],,true,[],/tool_runner?tool_id=interactive_tool_panoply,-1,galaxy_main,interactive_tools,Interactive Tools,regular,,,,
InteractiveTool,interactive_tool_phinch,Phinch Visualisation,0.1,,[],phinch.png,[],[],,true,[],/tool_runner?tool_id=interactive_tool_phinch,-1,galaxy_main,interactive_tools,Interactive Tools,regular,,,,
InteractiveTool,interactive_tool_pavian,Pavian,1.0,Interactive analysis of metagenomics data,[],pavian.png,[],[],,true,[],/tool_runner?tool_id=interactive_tool_pavian,-1,galaxy_main,interactive_tools,Interactive Tools,regular,,,,
InteractiveTool,interactive_tool_qiskit_jupyter_notebook,Qiskit Jupyter notebook,0.2,interactive tool,[],qiskit.png,[],[],,true,[],/tool_runner?tool_id=interactive_tool_qiskit_jupyter_notebook,-1,galaxy_main,interactive_tools,Interactive Tools,regular,,,,
InteractiveTool,interactive_tool_blobtoolkit,Interactive BlobToolKit,4.1.0+galaxy0,genome assembly QC viewer,[],blobtoolkit.png,[],[],,true,[],/tool_runner?tool_id=interactive_tool_blobtoolkit,-1,galaxy_main,interactive_tools,Interactive Tools,regular,,,,
InteractiveTool,interactive_tool_phyloseq,Phyloseq,1.0.0,Explore microbiome profiles,[],,[],[],,true,[],/tool_runner?tool_id=interactive_tool_phyloseq,-1,galaxy_main,interactive_tools,Interactive Tools,regular,,,,
Tool,toolshed.g2.bx.psu.edu/repos/iuc/samtools_depth/samtools_depth/1.13,Samtools depth,1.13,compute the depth at each position or region,[],,[],[],,true,"[{""value"":""samtools"",""type"":""bio.tools""}]",/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fsamtools_depth%2Fsamtools_depth%2F1.13,-1,galaxy_main,sam_bam,SAM/BAM,regular,samtools_depth,iuc,2ee8dc1aeda9,toolshed.g2.bx.psu.edu
Tool,toolshed.g2.bx.psu.edu/repos/iuc/samtools_fastx/samtools_fastx/1.13,Samtools fastx,1.13,extract FASTA or FASTQ from alignment files,[],,[],[],,true,"[{""value"":""samtools"",""type"":""bio.tools""}]",/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fsamtools_fastx%2Fsamtools_fastx%2F1.13,-1,galaxy_main,sam_bam,SAM/BAM,regular,samtools_fastx,iuc,720217c23995,toolshed.g2.bx.psu.edu
Tool,toolshed.g2.bx.psu.edu/repos/iuc/samtools_fixmate/samtools_fixmate/1.13,Samtools fixmate,1.13,"fill mate coordinates, ISIZE and mate related flags",[],,[],[],,true,"[{""value"":""samtools"",""type"":""bio.tools""}]",/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fsamtools_fixmate%2Fsamtools_fixmate%2F1.13,-1,galaxy_main,sam_bam,SAM/BAM,regular,samtools_fixmate,iuc,595ae1ba934a,toolshed.g2.bx.psu.edu
Tool,toolshed.g2.bx.psu.edu/repos/iuc/samtools_markdup/samtools_markdup/1.13,Samtools markdup,1.13,marks duplicate alignments,[],,[],[],,true,"[{""value"":""samtools"",""type"":""bio.tools""}]",/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fsamtools_markdup%2Fsamtools_markdup%2F1.13,-1,galaxy_main,sam_bam,SAM/BAM,regular,samtools_markdup,iuc,d0a568e1904b,toolshed.g2.bx.psu.edu
Tool,toolshed.g2.bx.psu.edu/repos/iuc/samtools_merge/samtools_merge/1.13,Samtools merge,1.13,merge multiple sorted alignment files,[],,[],[],,true,"[{""value"":""samtools"",""type"":""bio.tools""}]",/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fsamtools_merge%2Fsamtools_merge%2F1.13,-1,galaxy_main,sam_bam,SAM/BAM,regular,samtools_merge,iuc,b40e2d865d52,toolshed.g2.bx.psu.edu
Tool,toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view/1.13+galaxy1,Samtools view,1.13+galaxy1,"- reformat, filter, or subsample SAM, BAM or CRAM",[],,[],[],,true,"[{""value"":""samtools"",""type"":""bio.tools""}]",/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fsamtools_view%2Fsamtools_view%2F1.13%2Bgalaxy1,-1,galaxy_main,sam_bam,SAM/BAM,regular,samtools_view,iuc,c370440f901e,toolshed.g2.bx.psu.edu
Tool,toolshed.g2.bx.psu.edu/repos/iuc/samtools_markdup/samtools_markdup/1.13+galaxy1,Samtools markdup,1.13+galaxy1,marks duplicate alignments,[],,[],[],,true,"[{""value"":""samtools"",""type"":""bio.tools""}]",/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fsamtools_markdup%2Fsamtools_markdup%2F1.13%2Bgalaxy1,-1,galaxy_main,sam_bam,SAM/BAM,regular,samtools_markdup,iuc,887e02a45734,toolshed.g2.bx.psu.edu
Tool,toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view/1.13+galaxy2,Samtools view,1.13+galaxy2,"- reformat, filter, or subsample SAM, BAM or CRAM",[],,[],[],,true,"[{""value"":""samtools"",""type"":""bio.tools""}]",/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fsamtools_view%2Fsamtools_view%2F1.13%2Bgalaxy2,-1,galaxy_main,sam_bam,SAM/BAM,regular,samtools_view,iuc,0dbf49c414ae,toolshed.g2.bx.psu.edu
Tool,toolshed.g2.bx.psu.edu/repos/iuc/samtools_ampliconclip/samtools_ampliconclip/1.13,Samtools ampliconclip,1.13,clip primer bases from bam files,[],,[],[],,true,[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fsamtools_ampliconclip%2Fsamtools_ampliconclip%2F1.13,-1,galaxy_main,sam_bam,SAM/BAM,regular,samtools_ampliconclip,iuc,a941babb9268,toolshed.g2.bx.psu.edu
Tool,toolshed.g2.bx.psu.edu/repos/devteam/samtools_sort/samtools_sort/2.0.4,Samtools sort,2.0.4,order of storing aligned sequences,[],,[],[],,true,"[{""value"":""samtools"",""type"":""bio.tools""}]",/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fdevteam%2Fsamtools_sort%2Fsamtools_sort%2F2.0.4,-1,galaxy_main,sam_bam,SAM/BAM,regular,samtools_sort,devteam,6c2c1836728b,toolshed.g2.bx.psu.edu
Tool,toolshed.g2.bx.psu.edu/repos/devteam/samtools_mpileup/samtools_mpileup/2.1.6,Samtools mpileup,2.1.6,multi-way pileup of variants,[],,[],[],,true,"[{""value"":""samtools"",""type"":""bio.tools""},{""value"":""samtools"",""type"":""bio.tools""}]",/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fdevteam%2Fsamtools_mpileup%2Fsamtools_mpileup%2F2.1.6,-1,galaxy_main,sam_bam,SAM/BAM,regular,samtools_mpileup,devteam,9da0311ab1dd,toolshed.g2.bx.psu.edu
Tool,toolshed.g2.bx.psu.edu/repos/devteam/samtools_flagstat/samtools_flagstat/2.0.4,Samtools flagstat,2.0.4,tabulate descriptive stats for BAM datset,[],,[],[],,true,"[{""value"":""samtools"",""type"":""bio.tools""},{""value"":""samtools"",""type"":""bio.tools""}]",/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fdevteam%2Fsamtools_flagstat%2Fsamtools_flagstat%2F2.0.4,-1,galaxy_main,sam_bam,SAM/BAM,regular,samtools_flagstat,devteam,fe34990e5ce7,toolshed.g2.bx.psu.edu
Tool,toolshed.g2.bx.psu.edu/repos/devteam/bam_to_sam/bam_to_sam/2.0.2,BAM-to-SAM,2.0.2,convert BAM to SAM,[],,[],[],,true,[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fdevteam%2Fbam_to_sam%2Fbam_to_sam%2F2.0.2,-1,galaxy_main,sam_bam,SAM/BAM,regular,bam_to_sam,devteam,10184eaa85fc,toolshed.g2.bx.psu.edu
Tool,toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats/2.0.4,Samtools idxstats,2.0.4,reports stats of the BAM index file,[],,[],[],,true,"[{""value"":""samtools"",""type"":""bio.tools""}]",/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fdevteam%2Fsamtools_idxstats%2Fsamtools_idxstats%2F2.0.4,-1,galaxy_main,sam_bam,SAM/BAM,regular,samtools_idxstats,devteam,7def34e6cf4d,toolshed.g2.bx.psu.edu
Tool,toolshed.g2.bx.psu.edu/repos/devteam/sam_to_bam/sam_to_bam/2.1.2,SAM-to-BAM,2.1.2,convert SAM to BAM,[],,[],[],,true,[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fdevteam%2Fsam_to_bam%2Fsam_to_bam%2F2.1.2,-1,galaxy_main,sam_bam,SAM/BAM,regular,sam_to_bam,devteam,0e60e2dd20af,toolshed.g2.bx.psu.edu
